Qwen 3 8B dense																					wandb xp6jch5n
	avg5	math500				GPQA				IFEval				LCB				GSM8K			
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens
0	77.48	95.2	3.4	0.63	4544	55.56	4.55	2.73	7527	84.47	2.22	0.88	1320	56.72	2.99	0	14489	95.45	0.91	0.24	1961
1	77.77	94.4	3.6	0.21	4468	58.08	5.05	4.35	7352	83.73	1.29	0.66	1174	57.46	3.36	0	14451	95.15	0.91	0.24	1939
42	77.1	96.4	4.0	1.04	4556	54.04	2.02	0.93	7206	84.1	2.96	1.1	1406	56.34	2.24	0	14600	94.62	1.06	0.32	1977
mean	77.45	95.33	3.67	0.63	4523	55.89	3.87	2.67	7362	84.1	2.16	0.88	1300	56.84	2.86	0.0	14513	95.07	0.96	0.27	1959
std	0.33	1.01	0.31	0.41	48	2.04	1.62	1.71	161	0.37	0.83	0.22	118	0.57	0.57	0.0	77	0.42	0.09	0.05	19
																					
Qwen 3 8B s50 SparseGPT  [1/3 seeds complete]																					wandb zpovcm4b
	avg5	math500				GPQA				IFEval				LCB				GSM8K			
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens
42	68.76	91.8	6.0	1.31	4567	47.98	16.16	14.74	8782	69.13	33.09	25.67	6344	41.79	29.48	0	17910	93.1	1.97	0.57	2105
																					
Qwen 3 8B s50 SparseGPT selfgen  [1/3 seeds complete]																					wandb 4vr9z3wb
	avg5	math500				GPQA				IFEval				LCB				GSM8K			
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens
42	67.63	91.6	8.2	2.4	4944	45.45	21.21	16.67	9752	69.13	26.06	18.72	5317	38.43	34.7	0	20047	93.56	2.58	0.97	2409
																					
Qwen 3 8B s50 ALPS  [1/3 seeds complete]																					wandb dcdjjxif
	avg5	math500				GPQA				IFEval				LCB				GSM8K			
